Date,Close
2026-01-02,120.36
2026-01-05,121.37
2026-01-06,122.71
2026-01-07,123.95
2026-01-08,124.65
2026-01-09,124.68
2026-01-12,124.18
2026-01-13,123.57
2026-01-14,123.31
2026-01-15,123.69
2026-01-16,124.72
2026-01-19,126.09
2026-01-20,127.32
2026-01-21,128.02
2026-01-22,128.04
2026-01-23,127.54
2026-01-26,126.94
2026-01-27,126.71
2026-01-28,127.12
2026-01-29,128.17
2026-01-30,129.55
2026-02-02,130.78
2026-02-03,131.48
2026-02-04,131.49
2026-02-05,131.0
2026-02-06,130.41
2026-02-09,130.2
2026-02-10,130.64
2026-02-11,131.71
2026-02-12,133.1
2026-02-13,134.34
2026-02-16,135.03
2026-02-17,135.04
2026-02-18,134.55
2026-02-19,133.98
2026-02-20,133.79
2026-02-23,134.26
2026-02-24,135.35
2026-02-25,136.75
2026-02-26,137.99
2026-02-27,138.68
2026-03-02,138.68
2026-03-03,138.19
2026-03-04,137.64
2026-03-05,137.48
2026-03-06,137.97
2026-03-09,139.09
2026-03-10,140.51
2026-03-11,141.75
2026-03-12,142.43
2026-03-13,142.42
2026-03-16,141.94
2026-03-17,141.4
2026-03-18,141.26
2026-03-19,141.79
2026-03-20,142.93
2026-03-23,144.36
2026-03-24,145.6
2026-03-25,146.28
2026-03-26,146.27
2026-03-27,145.79
2026-03-30,145.27
2026-03-31,145.16
2026-04-01,145.71
2026-04-02,146.88
2026-04-03,148.32
2026-04-06,149.56
2026-04-07,150.23
2026-04-08,150.22
2026-04-09,149.75
2026-04-10,149.25
2026-04-13,149.16
2026-04-14,149.74
2026-04-15,150.93
2026-04-16,152.38
2026-04-17,153.63
2026-04-20,154.29
2026-04-21,154.28
2026-04-22,153.82
2026-04-23,153.33
2026-04-24,153.27
2026-04-27,153.88
2026-04-28,155.09
2026-04-29,156.56
2026-04-30,157.8
